order_ref,customer_ref,sku,quantity,order_value_inr,placed_at,payment_method,status,delivery_promise_days,actual_delivery_days
KW-O-000000,KW-C-00317,KW-SKU-000508,1,12999,2026-07-10T01:05,card,delivered,7,3
KW-O-000001,KW-C-00172,KW-SKU-000158,1,12999,2025-09-28T05:04,upi,placed,3,3
KW-O-000002,KW-C-00019,KW-SKU-000132,1,6499,2025-12-18T09:49,card,delivered,7,
KW-O-000003,KW-C-00094,KW-SKU-000368,1,12999,2025-08-25T15:59,upi,delivered,5,2
KW-O-000004,KW-C-00435,KW-SKU-000169,1,299,2026-07-13T14:48,upi,delivered,7,1
KW-O-000005,KW-C-00435,KW-SKU-000184,1,1499,2025-09-04T12:15,upi,delivered,5,
KW-O-000006,KW-C-00298,KW-SKU-000570,1,2999,2025-07-03T12:11,upi,delivered,7,14
KW-O-000007,KW-C-00424,KW-SKU-000564,2,6499,2026-02-13T05:23,upi,shipped,3,3
KW-O-000008,KW-C-00355,KW-SKU-000568,1,24999,2025-12-25T22:50,card,placed,7,4
KW-O-000009,KW-C-00039,KW-SKU-000307,1,2999,2026-06-01T05:44,netbanking,delivered,2,1
KW-O-000010,KW-C-00194,KW-SKU-000389,1,799,2025-10-03T19:47,cod,delivered,10,4
KW-O-000011,KW-C-00003,KW-SKU-000392,1,6499,2026-04-20T20:55,upi,delivered,2,2
KW-O-000012,KW-C-00417,KW-SKU-000594,2,1499,2025-08-25T13:13,wallet,cancelled,7,3
KW-O-000013,KW-C-00371,KW-SKU-000497,1,2999,2026-01-29T07:45,card,returned,3,6
KW-O-000014,KW-C-00143,KW-SKU-000095,1,799,2025-08-07T08:11,upi,shipped,10,2
KW-O-000015,KW-C-00004,KW-SKU-000350,2,2999,2026-02-04T18:02,card,delivered,7,1
KW-O-000016,KW-C-00159,KW-SKU-000461,1,12999,2026-02-02T22:33,upi,delivered,5,1
KW-O-000017,KW-C-00232,KW-SKU-000102,1,54999,2026-04-03T11:52,upi,placed,3,2
KW-O-000018,KW-C-00414,KW-SKU-000362,1,24999,2025-12-28T09:38,card,delivered,3,
KW-O-000019,KW-C-00338,KW-SKU-000483,1,299,2026-02-17T05:38,upi,delivered,3,4
KW-O-000020,KW-C-00135,KW-SKU-000264,1,54999,2026-05-22T16:38,card,returned,3,2
KW-O-000021,KW-C-00201,KW-SKU-000295,1,24999,2025-12-02T01:23,netbanking,placed,7,1
KW-O-000022,KW-C-00085,KW-SKU-000436,1,54999,2025-11-28T11:24,upi,returned,10,1
KW-O-000023,KW-C-00250,KW-SKU-000406,1,299,2026-03-04T10:16,card,returned,10,14
KW-O-000024,KW-C-00151,KW-SKU-000416,1,1499,2026-02-20T11:17,upi,delivered,7,6
KW-O-000025,KW-C-00031,KW-SKU-000287,1,24999,2025-06-23T22:24,upi,delivered,10,14
KW-O-000026,KW-C-00302,KW-SKU-000278,1,799,2026-07-15T08:36,upi,cancelled,3,14
KW-O-000027,KW-C-00012,KW-SKU-000054,2,54999,2025-08-29T02:44,cod,placed,2,
KW-O-000028,KW-C-00486,KW-SKU-000227,1,12999,2026-06-20T02:02,upi,delivered,3,4
KW-O-000029,KW-C-00227,KW-SKU-000540,1,799,2025-07-06T02:12,upi,delivered,7,1
KW-O-000030,KW-C-00142,KW-SKU-000024,1,799,2025-07-05T17:39,card,delivered,5,9
KW-O-000031,KW-C-00229,KW-SKU-000286,1,2999,2026-05-01T19:56,upi,delivered,10,14
KW-O-000032,KW-C-00191,KW-SKU-000165,1,799,2026-02-28T08:36,upi,delivered,3,4
KW-O-000033,KW-C-00124,KW-SKU-000001,2,299,2026-03-14T03:29,upi,delivered,10,3
KW-O-000034,KW-C-00320,KW-SKU-000413,3,2999,2026-04-02T04:49,wallet,delivered,10,
KW-O-000035,KW-C-00120,KW-SKU-000106,3,2999,2026-05-27T20:12,netbanking,cancelled,7,3
KW-O-000036,KW-C-00259,KW-SKU-000507,1,1499,2026-01-05T10:57,cod,shipped,10,9
KW-O-000037,KW-C-00192,KW-SKU-000337,3,2999,2026-07-20T23:19,cod,shipped,7,14
KW-O-000038,KW-C-00339,KW-SKU-000094,1,799,2026-05-25T09:54,netbanking,returned,5,4
KW-O-000039,KW-C-00458,KW-SKU-000493,2,24999,2025-09-11T23:23,upi,placed,2,9
KW-O-000040,KW-C-00286,KW-SKU-000103,1,2999,2026-03-16T23:25,cod,delivered,3,2
