sku,title,category,price_inr,seller_id,in_stock,warranty_months
KW-SKU-000000,Gold Provide Furniture,Furniture,24999,KW-S-0064,True,12
KW-SKU-000001,Black Present Furniture,Furniture,799,KW-S-0089,True,24
KW-SKU-000002,Ivory Certainly Grocerie,Groceries,1499,KW-S-0109,True,24
KW-SKU-000003,SteelBlue Be Toy,Toys,24999,KW-S-0014,True,12
KW-SKU-000004,PaleTurquoise Young Grocerie,Groceries,54999,KW-S-0070,True,0
KW-SKU-000005,Beige Garden Toy,Toys,12999,KW-S-0064,True,0
KW-SKU-000006,LightBlue Compare Beauty,Beauty,54999,KW-S-0096,True,0
KW-SKU-000007,SeaShell Return Apparel,Apparel,1499,KW-S-0028,True,6
KW-SKU-000008,DarkGoldenRod Hospital Grocerie,Groceries,799,KW-S-0039,True,12
KW-SKU-000009,Beige Situation Grocerie,Groceries,1499,KW-S-0064,True,0
KW-SKU-000010,Orange Old Electronic,Electronics,6499,KW-S-0088,True,12
KW-SKU-000011,Teal Treat Grocerie,Groceries,799,KW-S-0088,True,0
KW-SKU-000012,GoldenRod To Toy,Toys,1499,KW-S-0038,True,0
KW-SKU-000013,DodgerBlue Lot Grocerie,Groceries,24999,KW-S-0027,False,12
KW-SKU-000014,NavajoWhite Several Sports & Outdoor,Sports & Outdoors,54999,KW-S-0004,True,12
KW-SKU-000015,LawnGreen Continue Toy,Toys,24999,KW-S-0069,False,12
KW-SKU-000016,SeaShell Write Furniture,Furniture,299,KW-S-0028,True,24
KW-SKU-000017,Green Future Beauty,Beauty,299,KW-S-0004,True,0
KW-SKU-000018,DarkSeaGreen Finally Furniture,Furniture,2999,KW-S-0052,True,0
KW-SKU-000019,Coral Wall Toy,Toys,1499,KW-S-0096,False,24
KW-SKU-000020,Black Design Home & Kitchen,Home & Kitchen,1499,KW-S-0062,False,12
KW-SKU-000021,SandyBrown Machine Toy,Toys,2999,KW-S-0036,True,6
KW-SKU-000022,LemonChiffon Return Electronic,Electronics,24999,KW-S-0096,False,0
KW-SKU-000023,Red Effort Home & Kitchen,Home & Kitchen,799,KW-S-0070,True,0
KW-SKU-000024,Fuchsia Main Apparel,Apparel,6499,KW-S-0062,True,0
KW-SKU-000025,SteelBlue Put Electronic,Electronics,799,KW-S-0069,True,24
KW-SKU-000026,DarkOliveGreen Suggest Grocerie,Groceries,299,KW-S-0109,True,6
KW-SKU-000027,MediumPurple Turn Furniture,Furniture,6499,KW-S-0107,True,6
KW-SKU-000028,DimGray Election Furniture,Furniture,299,KW-S-0041,True,0
KW-SKU-000029,SandyBrown Seven Home & Kitchen,Home & Kitchen,54999,KW-S-0016,True,24
KW-SKU-000030,CornflowerBlue Account Grocerie,Groceries,12999,KW-S-0054,True,0
KW-SKU-000031,BlanchedAlmond Rest Home & Kitchen,Home & Kitchen,299,KW-S-0056,True,0
KW-SKU-000032,PaleTurquoise Trial Toy,Toys,24999,KW-S-0111,True,12
KW-SKU-000033,Turquoise Many Beauty,Beauty,799,KW-S-0022,True,6
KW-SKU-000034,OliveDrab Avoid Toy,Toys,54999,KW-S-0105,True,12
KW-SKU-000035,PapayaWhip Ever Home & Kitchen,Home & Kitchen,24999,KW-S-0077,True,12
KW-SKU-000036,WhiteSmoke Camera Beauty,Beauty,54999,KW-S-0117,True,0
KW-SKU-000037,White Send Home & Kitchen,Home & Kitchen,2999,KW-S-0068,False,24
KW-SKU-000038,Bisque Leg Electronic,Electronics,24999,KW-S-0068,False,0
KW-SKU-000039,SkyBlue Their Electronic,Electronics,799,KW-S-0098,True,0
KW-SKU-000040,Chocolate Final Furniture,Furniture,799,KW-S-0055,False,6
KW-SKU-000041,Orchid Them Beauty,Beauty,1499,KW-S-0015,True,0
KW-SKU-000042,BlueViolet Himself Grocerie,Groceries,799,KW-S-0103,True,0
KW-SKU-000043,PaleGoldenRod Sense Furniture,Furniture,12999,KW-S-0035,True,0
KW-SKU-000044,Teal Professional Sports & Outdoor,Sports & Outdoors,299,KW-S-0032,True,0
KW-SKU-000045,Purple Later Toy,Toys,6499,KW-S-0048,True,6
KW-SKU-000046,DarkRed Body Beauty,Beauty,12999,KW-S-0089,True,0
KW-SKU-000047,DarkViolet Throw Home & Kitchen,Home & Kitchen,1499,KW-S-0062,False,0
KW-SKU-000048,LightGray Son Apparel,Apparel,1499,KW-S-0117,True,6
KW-SKU-000049,DarkOliveGreen Seven Home & Kitchen,Home & Kitchen,54999,KW-S-0104,True,24
KW-SKU-000050,FloralWhite Hit Apparel,Apparel,12999,KW-S-0072,False,0
KW-SKU-000051,PaleVioletRed Realize Sports & Outdoor,Sports & Outdoors,54999,KW-S-0112,True,0
KW-SKU-000052,MediumSlateBlue Change Home & Kitchen,Home & Kitchen,1499,KW-S-0091,True,0
KW-SKU-000053,LemonChiffon Stuff Home & Kitchen,Home & Kitchen,24999,KW-S-0030,True,6
KW-SKU-000054,SkyBlue Develop Toy,Toys,6499,KW-S-0013,True,24
KW-SKU-000055,LightGray Bill Sports & Outdoor,Sports & Outdoors,12999,KW-S-0030,True,12
KW-SKU-000056,MediumPurple Quality Beauty,Beauty,299,KW-S-0078,True,12
KW-SKU-000057,Cornsilk Low Grocerie,Groceries,12999,KW-S-0100,False,0
KW-SKU-000058,SlateGray Soldier Grocerie,Groceries,6499,KW-S-0047,False,24
KW-SKU-000059,LemonChiffon Sometimes Furniture,Furniture,1499,KW-S-0081,True,0
KW-SKU-000060,LightGoldenRodYellow Guess Apparel,Apparel,799,KW-S-0059,True,0
KW-SKU-000061,LightYellow Risk Toy,Toys,799,KW-S-0054,True,0
KW-SKU-000062,Red Give Home & Kitchen,Home & Kitchen,2999,KW-S-0028,False,12
KW-SKU-000063,RoyalBlue Scene Beauty,Beauty,24999,KW-S-0058,True,0
KW-SKU-000064,LightGoldenRodYellow Out Home & Kitchen,Home & Kitchen,54999,KW-S-0085,True,6
KW-SKU-000065,LightSalmon Phone Electronic,Electronics,1499,KW-S-0040,True,0
KW-SKU-000066,Blue Sort Apparel,Apparel,6499,KW-S-0013,True,24
KW-SKU-000067,DarkSlateGray Choose Beauty,Beauty,299,KW-S-0053,True,0
KW-SKU-000068,Turquoise Fight Apparel,Apparel,2999,KW-S-0056,True,0
KW-SKU-000069,Bisque Do Home & Kitchen,Home & Kitchen,799,KW-S-0084,True,6
