refund_id,order_ref,amount_inr,reason_code,status,approved_by,requested_on
KW-RF-00000,KW-O-001261,1499,not_delivered,processed,auto,2026-03-26
KW-RF-00001,KW-O-000288,24999,late_delivery,approved,agent,2025-12-18
KW-RF-00002,KW-O-000743,24999,quality,processed,ops_manager,2026-06-25
KW-RF-00003,KW-O-000304,6499,late_delivery,approved,ops_manager,2026-04-12
KW-RF-00004,KW-O-000441,12999,quality,processed,auto,2026-07-12
KW-RF-00005,KW-O-000890,299,late_delivery,processed,team_lead,2025-12-04
KW-RF-00006,KW-O-001136,2999,not_delivered,approved,agent,2026-03-17
KW-RF-00007,KW-O-000838,299,not_delivered,processed,finance,2026-04-18
KW-RF-00008,KW-O-000116,24999,late_delivery,processed,finance,2025-11-24
KW-RF-00009,KW-O-000132,2999,changed_mind,processed,agent,2026-04-11
KW-RF-00010,KW-O-000086,799,changed_mind,processed,finance,2026-03-28
KW-RF-00011,KW-O-001397,12999,late_delivery,requested,team_lead,2026-06-27
KW-RF-00012,KW-O-000539,6499,damaged,processed,finance,2026-03-28
KW-RF-00013,KW-O-000247,2999,late_delivery,approved,team_lead,2025-12-10
KW-RF-00014,KW-O-001056,1499,quality,processed,team_lead,2026-03-17
KW-RF-00015,KW-O-000527,299,damaged,processed,agent,2026-01-11
KW-RF-00016,KW-O-000376,6499,quality,rejected,team_lead,2026-05-13
KW-RF-00017,KW-O-001106,24999,damaged,rejected,ops_manager,2026-04-13
KW-RF-00018,KW-O-000379,299,damaged,processed,auto,2025-12-17
KW-RF-00019,KW-O-000935,24999,damaged,requested,ops_manager,2025-11-20
KW-RF-00020,KW-O-000430,24999,late_delivery,processed,team_lead,2026-01-21
KW-RF-00021,KW-O-000658,12999,wrong_item,processed,finance,2025-09-20
KW-RF-00022,KW-O-000676,1499,late_delivery,processed,ops_manager,2026-02-11
KW-RF-00023,KW-O-000050,12999,late_delivery,processed,ops_manager,2026-06-15
KW-RF-00024,KW-O-001228,12999,damaged,requested,team_lead,2026-04-28
KW-RF-00025,KW-O-001337,6499,damaged,requested,agent,2025-12-27
KW-RF-00026,KW-O-000312,1499,late_delivery,approved,finance,2026-04-09
KW-RF-00027,KW-O-001399,1499,changed_mind,processed,auto,2025-09-22
KW-RF-00028,KW-O-000706,299,quality,processed,ops_manager,2026-07-15
KW-RF-00029,KW-O-001332,2999,wrong_item,approved,team_lead,2026-05-31
KW-RF-00030,KW-O-000870,299,quality,rejected,ops_manager,2026-04-25
KW-RF-00031,KW-O-000992,799,not_delivered,processed,ops_manager,2025-11-21
KW-RF-00032,KW-O-000938,2999,wrong_item,rejected,auto,2026-04-24
KW-RF-00033,KW-O-001088,799,not_delivered,processed,finance,2026-03-23
KW-RF-00034,KW-O-000060,6499,damaged,processed,auto,2025-08-15
KW-RF-00035,KW-O-001466,12999,changed_mind,approved,ops_manager,2025-11-28
KW-RF-00036,KW-O-001285,24999,late_delivery,requested,auto,2026-06-15
KW-RF-00037,KW-O-000540,24999,wrong_item,requested,agent,2025-10-01
KW-RF-00038,KW-O-000398,299,not_delivered,processed,finance,2026-02-02
KW-RF-00039,KW-O-000705,2999,wrong_item,approved,ops_manager,2026-03-05
KW-RF-00040,KW-O-001336,24999,wrong_item,rejected,ops_manager,2025-12-26
KW-RF-00041,KW-O-000704,2999,not_delivered,processed,team_lead,2025-09-24
KW-RF-00042,KW-O-000679,6499,changed_mind,processed,ops_manager,2026-07-07
KW-RF-00043,KW-O-001107,1499,damaged,processed,ops_manager,2026-05-24
KW-RF-00044,KW-O-000787,1499,quality,processed,agent,2026-04-13
KW-RF-00045,KW-O-000820,1499,quality,processed,agent,2025-08-18
KW-RF-00046,KW-O-000105,299,wrong_item,approved,team_lead,2026-01-05
KW-RF-00047,KW-O-001312,1499,not_delivered,processed,agent,2025-11-20
