tracking_id,order_ref,carrier,last_scan,last_scan_at,scan_location
KW-TRK-0000000,KW-O-000000,Bluedart,delivered,2026-07-17T23:55,Burtonfurt
KW-TRK-0000001,KW-O-000001,Bluedart,out_for_delivery,2026-07-19T19:27,Jasminestad
KW-TRK-0000002,KW-O-000002,XpressBees,returned_to_origin,2026-06-04T15:59,Ryanstad
KW-TRK-0000003,KW-O-000003,Delhivery,delivery_attempted,2026-07-13T16:22,West Amber
KW-TRK-0000004,KW-O-000004,Ecom Express,delivered,2026-06-13T09:39,Lake Dennisbury
KW-TRK-0000005,KW-O-000005,Delhivery,in_transit,2026-06-07T00:18,North Tina
KW-TRK-0000006,KW-O-000006,Ecom Express,exception,2026-06-07T05:21,Nicholsville
KW-TRK-0000007,KW-O-000007,Bluedart,returned_to_origin,2026-07-25T07:55,Lake Michael
KW-TRK-0000008,KW-O-000008,Ecom Express,delivery_attempted,2026-07-04T06:14,South Joseph
KW-TRK-0000009,KW-O-000009,Ecom Express,delivery_attempted,2026-06-22T17:45,South Christinefort
KW-TRK-0000010,KW-O-000010,XpressBees,returned_to_origin,2026-06-02T09:33,Brownburgh
KW-TRK-0000011,KW-O-000011,XpressBees,delivered,2026-06-19T20:18,New Shaneton
KW-TRK-0000012,KW-O-000012,IndiaPost,delivered,2026-06-04T17:46,Thomasberg
KW-TRK-0000013,KW-O-000013,IndiaPost,out_for_delivery,2026-07-21T22:36,Lake Michaelview
KW-TRK-0000014,KW-O-000014,Delhivery,returned_to_origin,2026-07-03T23:28,Staceytown
KW-TRK-0000015,KW-O-000015,Bluedart,delivery_attempted,2026-06-18T06:40,Jordanberg
KW-TRK-0000016,KW-O-000016,Ecom Express,delivered,2026-06-24T02:14,Lewismouth
KW-TRK-0000017,KW-O-000017,Delhivery,in_transit,2026-07-08T08:12,Amandaport
KW-TRK-0000018,KW-O-000018,Delhivery,returned_to_origin,2026-07-07T09:33,Jessehaven
KW-TRK-0000019,KW-O-000019,Bluedart,delivered,2026-07-08T06:40,Thomasside
KW-TRK-0000020,KW-O-000020,Bluedart,in_transit,2026-06-20T16:18,Michelleton
KW-TRK-0000021,KW-O-000021,Ecom Express,out_for_delivery,2026-06-26T22:16,Brianaland
KW-TRK-0000022,KW-O-000022,IndiaPost,in_transit,2026-06-11T07:04,New Robertburgh
KW-TRK-0000023,KW-O-000023,IndiaPost,returned_to_origin,2026-07-21T21:43,East Tina
KW-TRK-0000024,KW-O-000024,IndiaPost,exception,2026-07-05T22:08,Port Howard
KW-TRK-0000025,KW-O-000025,Bluedart,exception,2026-07-07T11:13,Chandlermouth
KW-TRK-0000026,KW-O-000026,Bluedart,out_for_delivery,2026-06-14T01:28,North Sophiashire
KW-TRK-0000027,KW-O-000027,XpressBees,exception,2026-06-28T07:41,Ballardfurt
KW-TRK-0000028,KW-O-000028,Bluedart,returned_to_origin,2026-06-04T18:07,Taylormouth
KW-TRK-0000029,KW-O-000029,Ecom Express,exception,2026-06-11T08:44,North Larry
KW-TRK-0000030,KW-O-000030,Ecom Express,in_transit,2026-06-14T17:20,Lake Russell
KW-TRK-0000031,KW-O-000031,Bluedart,exception,2026-06-02T16:33,Victorburgh
KW-TRK-0000032,KW-O-000032,IndiaPost,delivered,2026-06-06T10:12,Richardbury
KW-TRK-0000033,KW-O-000033,Ecom Express,exception,2026-07-08T15:44,Valerieland
KW-TRK-0000034,KW-O-000034,Bluedart,delivered,2026-07-13T21:53,Shannonville
KW-TRK-0000035,KW-O-000035,XpressBees,returned_to_origin,2026-06-23T00:57,Andrewton
KW-TRK-0000036,KW-O-000036,Delhivery,out_for_delivery,2026-07-18T06:45,Lake Nathanielburgh
KW-TRK-0000037,KW-O-000037,IndiaPost,exception,2026-06-16T11:48,New Alexandermouth
KW-TRK-0000038,KW-O-000038,IndiaPost,returned_to_origin,2026-07-27T21:15,Torresshire
KW-TRK-0000039,KW-O-000039,XpressBees,delivered,2026-07-15T21:05,Micheleburgh
KW-TRK-0000040,KW-O-000040,Delhivery,returned_to_origin,2026-07-17T13:37,Lake Christine
KW-TRK-0000041,KW-O-000041,XpressBees,out_for_delivery,2026-06-06T10:57,New Jeffery
KW-TRK-0000042,KW-O-000042,XpressBees,out_for_delivery,2026-07-08T06:18,Collinberg
KW-TRK-0000043,KW-O-000043,Delhivery,out_for_delivery,2026-07-30T21:27,Audreymouth
KW-TRK-0000044,KW-O-000044,Bluedart,delivery_attempted,2026-06-07T08:23,New Eduardo
KW-TRK-0000045,KW-O-000045,Ecom Express,delivery_attempted,2026-06-21T15:59,Johnsonton
KW-TRK-0000046,KW-O-000046,IndiaPost,in_transit,2026-07-14T23:47,Port Sarahport
KW-TRK-0000047,KW-O-000047,Bluedart,out_for_delivery,2026-07-01T15:56,West Feliciashire
KW-TRK-0000048,KW-O-000048,Bluedart,out_for_delivery,2026-07-18T16:54,North Tyler
KW-TRK-0000049,KW-O-000049,Delhivery,returned_to_origin,2026-07-01T05:14,New Samantha
KW-TRK-0000050,KW-O-000050,XpressBees,in_transit,2026-06-15T16:00,Mcfarlandside
KW-TRK-0000051,KW-O-000051,Ecom Express,returned_to_origin,2026-06-09T02:59,Bowersville
KW-TRK-0000052,KW-O-000052,XpressBees,out_for_delivery,2026-07-14T03:33,West Johnberg
KW-TRK-0000053,KW-O-000053,IndiaPost,returned_to_origin,2026-06-30T06:08,Port Travis
KW-TRK-0000054,KW-O-000054,Delhivery,delivery_attempted,2026-07-01T06:10,Williamston
KW-TRK-0000055,KW-O-000055,Delhivery,delivery_attempted,2026-07-06T08:25,Cochranshire
KW-TRK-0000056,KW-O-000056,Delhivery,in_transit,2026-07-02T02:34,Port Aprilmouth
KW-TRK-0000057,KW-O-000057,Ecom Express,exception,2026-07-30T06:12,Shermanborough
KW-TRK-0000058,KW-O-000058,Ecom Express,delivered,2026-07-13T05:19,Lukemouth
KW-TRK-0000059,KW-O-000059,XpressBees,in_transit,2026-07-08T02:52,West Sheryl
KW-TRK-0000060,KW-O-000060,Bluedart,returned_to_origin,2026-07-29T01:01,Powellfurt
KW-TRK-0000061,KW-O-000061,Ecom Express,in_transit,2026-06-30T21:00,South Andrewville
KW-TRK-0000062,KW-O-000062,IndiaPost,exception,2026-06-24T23:15,Annafurt
KW-TRK-0000063,KW-O-000063,Bluedart,returned_to_origin,2026-07-15T20:19,Tylerport
KW-TRK-0000064,KW-O-000064,XpressBees,returned_to_origin,2026-07-28T14:01,New Marieborough
KW-TRK-0000065,KW-O-000065,IndiaPost,delivery_attempted,2026-06-24T12:53,West Patriciashire
KW-TRK-0000066,KW-O-000066,Delhivery,exception,2026-06-06T21:02,Lake Lee
KW-TRK-0000067,KW-O-000067,Delhivery,out_for_delivery,2026-06-03T03:15,New Anthonyport
KW-TRK-0000068,KW-O-000068,Ecom Express,out_for_delivery,2026-06-22T18:46,Lopezside
KW-TRK-0000069,KW-O-000069,Delhivery,out_for_delivery,2026-07-22T16:22,Port Marciachester
KW-TRK-0000070,KW-O-000070,XpressBees,exception,2026-06-25T14:38,New Nathan
KW-TRK-0000071,KW-O-000071,Bluedart,exception,2026-07-27T17:11,East Coreyburgh
KW-TRK-0000072,KW-O-000072,IndiaPost,in_transit,2026-06-16T11:17,Lake Luke
KW-TRK-0000073,KW-O-000073,Ecom Express,in_transit,2026-07-31T15:45,South Jamie
KW-TRK-0000074,KW-O-000074,Delhivery,delivery_attempted,2026-06-03T22:38,North Sandraborough
KW-TRK-0000075,KW-O-000075,Ecom Express,in_transit,2026-06-04T17:30,West Adambury
KW-TRK-0000076,KW-O-000076,Ecom Express,out_for_delivery,2026-07-25T09:54,Traceyfurt
KW-TRK-0000077,KW-O-000077,IndiaPost,delivery_attempted,2026-07-14T00:02,West Samantha
KW-TRK-0000078,KW-O-000078,XpressBees,delivered,2026-07-17T17:53,Williamsberg
KW-TRK-0000079,KW-O-000079,Bluedart,delivery_attempted,2026-06-17T05:07,New Elizabeth
KW-TRK-0000080,KW-O-000080,IndiaPost,in_transit,2026-06-17T22:16,Beckerport
KW-TRK-0000081,KW-O-000081,IndiaPost,delivered,2026-07-18T15:37,Lake Jill
KW-TRK-0000082,KW-O-000082,XpressBees,returned_to_origin,2026-07-13T00:05,Roberttown
KW-TRK-0000083,KW-O-000083,IndiaPost,out_for_delivery,2026-07-12T12:07,Colonfurt
KW-TRK-0000084,KW-O-000084,XpressBees,in_transit,2026-07-07T00:41,Meganborough
KW-TRK-0000085,KW-O-000085,Delhivery,delivery_attempted,2026-06-21T03:57,Kingtown
KW-TRK-0000086,KW-O-000086,XpressBees,in_transit,2026-07-26T05:40,Williamsmouth
KW-TRK-0000087,KW-O-000087,XpressBees,out_for_delivery,2026-06-21T21:56,Lake Hannah
KW-TRK-0000088,KW-O-000088,Delhivery,in_transit,2026-07-27T03:46,Lake Dannyburgh
KW-TRK-0000089,KW-O-000089,IndiaPost,in_transit,2026-06-11T10:33,Jonesside
KW-TRK-0000090,KW-O-000090,XpressBees,returned_to_origin,2026-07-24T23:58,Garyview
KW-TRK-0000091,KW-O-000091,Delhivery,delivered,2026-07-17T10:31,Mitchellport
KW-TRK-0000092,KW-O-000092,IndiaPost,in_transit,2026-07-17T16:31,Melissaview
KW-TRK-0000093,KW-O-000093,Ecom Express,in_transit,2026-07-23T05:09,Port Davidborough
KW-TRK-0000094,KW-O-000094,IndiaPost,out_for_delivery,2026-06-12T12:03,New Meghanborough
KW-TRK-0000095,KW-O-000095,Bluedart,returned_to_origin,2026-07-21T14:24,New Wendy
KW-TRK-0000096,KW-O-000096,IndiaPost,out_for_delivery,2026-07-11T13:50,Mendozaville
KW-TRK-0000097,KW-O-000097,IndiaPost,returned_to_origin,2026-06-19T06:08,North Marissa
KW-TRK-0000098,KW-O-000098,XpressBees,exception,2026-06-08T23:30,North Kathryn
KW-TRK-0000099,KW-O-000099,IndiaPost,returned_to_origin,2026-07-28T02:28,East Ryanstad
KW-TRK-0000100,KW-O-000100,IndiaPost,in_transit,2026-06-03T17:05,Rodgersmouth
KW-TRK-0000101,KW-O-000101,IndiaPost,delivery_attempted,2026-07-21T07:52,Lake Sarahborough
KW-TRK-0000102,KW-O-000102,XpressBees,in_transit,2026-06-17T20:57,Lake Louis
KW-TRK-0000103,KW-O-000103,IndiaPost,returned_to_origin,2026-06-06T22:24,East Matthewview
KW-TRK-0000104,KW-O-000104,Ecom Express,exception,2026-06-18T05:49,West Steven
KW-TRK-0000105,KW-O-000105,Ecom Express,out_for_delivery,2026-07-25T05:18,South Normanport
KW-TRK-0000106,KW-O-000106,Ecom Express,delivery_attempted,2026-07-03T16:32,East Jackborough
KW-TRK-0000107,KW-O-000107,XpressBees,in_transit,2026-07-13T09:00,Dianemouth
KW-TRK-0000108,KW-O-000108,XpressBees,in_transit,2026-07-16T00:36,Port Scottbury
KW-TRK-0000109,KW-O-000109,XpressBees,out_for_delivery,2026-06-17T14:19,Angelaberg
KW-TRK-0000110,KW-O-000110,Ecom Express,in_transit,2026-07-31T17:04,Brianland
KW-TRK-0000111,KW-O-000111,XpressBees,delivery_attempted,2026-07-31T01:35,Holmestown
KW-TRK-0000112,KW-O-000112,IndiaPost,in_transit,2026-06-23T10:30,Lake Sarah
KW-TRK-0000113,KW-O-000113,Bluedart,in_transit,2026-07-26T12:19,Benjaminville
KW-TRK-0000114,KW-O-000114,Bluedart,returned_to_origin,2026-06-22T23:17,North Patrick
KW-TRK-0000115,KW-O-000115,Ecom Express,returned_to_origin,2026-06-02T19:13,Port Paulshire
KW-TRK-0000116,KW-O-000116,XpressBees,returned_to_origin,2026-07-05T22:38,Port Jeffreyton
KW-TRK-0000117,KW-O-000117,Ecom Express,delivered,2026-07-23T21:38,North Deborahfort
KW-TRK-0000118,KW-O-000118,IndiaPost,returned_to_origin,2026-07-28T01:23,Campbellfurt
KW-TRK-0000119,KW-O-000119,Bluedart,delivered,2026-07-24T05:16,Kentbury
KW-TRK-0000120,KW-O-000120,Delhivery,out_for_delivery,2026-06-27T03:08,Salazarstad
KW-TRK-0000121,KW-O-000121,IndiaPost,delivered,2026-07-24T17:23,Mendozaberg
KW-TRK-0000122,KW-O-000122,IndiaPost,exception,2026-07-16T19:54,Herrerastad
KW-TRK-0000123,KW-O-000123,Delhivery,delivery_attempted,2026-06-08T04:31,East Justin
KW-TRK-0000124,KW-O-000124,Delhivery,in_transit,2026-06-23T09:36,South Yvette
KW-TRK-0000125,KW-O-000125,Bluedart,exception,2026-07-21T08:13,West Jody
KW-TRK-0000126,KW-O-000126,Bluedart,delivery_attempted,2026-07-13T09:29,Trujilloberg
KW-TRK-0000127,KW-O-000127,IndiaPost,delivered,2026-06-07T19:45,South Robertside
KW-TRK-0000128,KW-O-000128,Ecom Express,exception,2026-07-31T04:42,South David
KW-TRK-0000129,KW-O-000129,XpressBees,delivery_attempted,2026-07-01T20:39,Jaredfurt
KW-TRK-0000130,KW-O-000130,Delhivery,exception,2026-06-04T17:36,Stephensonmouth
KW-TRK-0000131,KW-O-000131,XpressBees,delivery_attempted,2026-07-26T08:03,Wallacefurt
KW-TRK-0000132,KW-O-000132,Bluedart,exception,2026-06-22T22:10,Coxmouth
KW-TRK-0000133,KW-O-000133,IndiaPost,returned_to_origin,2026-06-19T04:04,Andersonhaven
KW-TRK-0000134,KW-O-000134,Ecom Express,exception,2026-06-25T19:03,East Jay
KW-TRK-0000135,KW-O-000135,IndiaPost,in_transit,2026-06-14T16:17,New James
KW-TRK-0000136,KW-O-000136,IndiaPost,exception,2026-07-23T10:23,Rachelside
KW-TRK-0000137,KW-O-000137,XpressBees,delivery_attempted,2026-06-04T14:53,Brooksport
KW-TRK-0000138,KW-O-000138,Ecom Express,in_transit,2026-07-04T18:25,South Donald
KW-TRK-0000139,KW-O-000139,Ecom Express,delivery_attempted,2026-07-24T20:29,New Deniseport
KW-TRK-0000140,KW-O-000140,Bluedart,out_for_delivery,2026-07-15T01:21,Williamsborough
KW-TRK-0000141,KW-O-000141,Delhivery,exception,2026-06-09T22:20,Andreaburgh
KW-TRK-0000142,KW-O-000142,Ecom Express,out_for_delivery,2026-06-13T23:19,Gileschester
KW-TRK-0000143,KW-O-000143,IndiaPost,exception,2026-07-05T05:06,South Andrew
KW-TRK-0000144,KW-O-000144,IndiaPost,out_for_delivery,2026-06-28T14:22,South Ashley
KW-TRK-0000145,KW-O-000145,IndiaPost,returned_to_origin,2026-07-30T20:26,West Tonya
KW-TRK-0000146,KW-O-000146,Ecom Express,exception,2026-06-26T20:16,Lake Richard
KW-TRK-0000147,KW-O-000147,Delhivery,out_for_delivery,2026-06-13T04:08,East Robert
KW-TRK-0000148,KW-O-000148,IndiaPost,returned_to_origin,2026-06-17T19:36,Sanchezberg
KW-TRK-0000149,KW-O-000149,IndiaPost,out_for_delivery,2026-06-06T03:55,Stewarthaven
KW-TRK-0000150,KW-O-000150,Ecom Express,exception,2026-08-01T05:55,Lake Coltonland
KW-TRK-0000151,KW-O-000151,IndiaPost,delivery_attempted,2026-07-14T13:55,North Alanton
KW-TRK-0000152,KW-O-000152,Delhivery,in_transit,2026-07-23T15:02,Melissamouth
KW-TRK-0000153,KW-O-000153,Ecom Express,in_transit,2026-07-15T03:30,Jamesberg
KW-TRK-0000154,KW-O-000154,XpressBees,delivered,2026-07-11T07:20,West Mary
KW-TRK-0000155,KW-O-000155,Ecom Express,in_transit,2026-06-13T12:48,Cindymouth
KW-TRK-0000156,KW-O-000156,Ecom Express,delivery_attempted,2026-07-15T23:17,Alvarezburgh
KW-TRK-0000157,KW-O-000157,Ecom Express,delivery_attempted,2026-07-09T20:53,Kevinside
KW-TRK-0000158,KW-O-000158,Delhivery,in_transit,2026-07-30T14:51,East Frank
KW-TRK-0000159,KW-O-000159,XpressBees,exception,2026-07-19T12:56,New Reneechester
KW-TRK-0000160,KW-O-000160,XpressBees,exception,2026-07-03T02:45,New Andrea
KW-TRK-0000161,KW-O-000161,IndiaPost,delivered,2026-06-14T12:46,Gravesview
KW-TRK-0000162,KW-O-000162,Ecom Express,delivered,2026-07-01T13:40,North Elizabeth
KW-TRK-0000163,KW-O-000163,Delhivery,delivered,2026-07-04T19:30,South Colton
KW-TRK-0000164,KW-O-000164,XpressBees,delivery_attempted,2026-07-11T09:29,East Nicolefort
KW-TRK-0000165,KW-O-000165,IndiaPost,out_for_delivery,2026-07-31T14:42,Woodstown
KW-TRK-0000166,KW-O-000166,Delhivery,returned_to_origin,2026-07-31T07:38,Sarahshire
KW-TRK-0000167,KW-O-000167,Bluedart,delivery_attempted,2026-06-18T02:31,South Patricia
KW-TRK-0000168,KW-O-000168,Delhivery,exception,2026-07-13T03:43,Pottsshire
KW-TRK-0000169,KW-O-000169,IndiaPost,returned_to_origin,2026-06-28T17:11,Nicoleland
KW-TRK-0000170,KW-O-000170,Bluedart,delivery_attempted,2026-06-04T15:41,Caseyberg
KW-TRK-0000171,KW-O-000171,Bluedart,delivered,2026-06-27T14:20,Ericaberg
KW-TRK-0000172,KW-O-000172,Bluedart,out_for_delivery,2026-07-22T13:08,Port Susanborough
KW-TRK-0000173,KW-O-000173,Delhivery,delivery_attempted,2026-06-25T00:49,Kellyland
KW-TRK-0000174,KW-O-000174,XpressBees,delivery_attempted,2026-07-24T13:34,Carriefort
KW-TRK-0000175,KW-O-000175,XpressBees,out_for_delivery,2026-06-25T08:18,New Patriciachester
KW-TRK-0000176,KW-O-000176,XpressBees,out_for_delivery,2026-06-22T01:45,West Melissa
KW-TRK-0000177,KW-O-000177,XpressBees,exception,2026-07-31T04:40,New Juan
KW-TRK-0000178,KW-O-000178,XpressBees,delivery_attempted,2026-06-15T18:09,South Lucasburgh
KW-TRK-0000179,KW-O-000179,Delhivery,delivered,2026-06-26T22:15,Lake Johnport
KW-TRK-0000180,KW-O-000180,IndiaPost,exception,2026-07-21T00:23,Shanechester
KW-TRK-0000181,KW-O-000181,IndiaPost,out_for_delivery,2026-07-27T00:52,Billymouth
KW-TRK-0000182,KW-O-000182,IndiaPost,delivery_attempted,2026-06-10T19:26,West Andreaberg
KW-TRK-0000183,KW-O-000183,Bluedart,out_for_delivery,2026-07-07T08:47,Lake Ashleyport
KW-TRK-0000184,KW-O-000184,IndiaPost,delivered,2026-07-20T15:38,Gonzalezfort
